name;address;country;cp;ville;phone;description
SELARL PHAMACIE DU BERTEUIL;78 CRS BERTEUIL;FRANCE;84600;VALREAS;04 90 35 02 23;Pharmacie d'Officine
SELARL PHARMACIE LA COMTADINE;R GEORGE BIZET;FRANCE;84100;ORANGE;04 90 34 21 78;Pharmacie d'Officine
SELARL PHARMACIE DU BAL DES ROSES;447 AV MARECHAL LECLERC;FRANCE;84120;PERTUIS;04 90 79 18 84;Pharmacie d'Officine
PHARMACIE TRITTO - CONQUET;RTE DE CAMARET;FRANCE;84830;SERIGNAN DU COMTAT;04 90 70 01 25;Pharmacie d'Officine
PHARMACIE DELECOURT;546 AV VICTOR HUGO;FRANCE;84320;ENTRAIGUES SUR LA SORGUE;04 88 70 05 19;Pharmacie d'Officine
PHARMACIE COLLARD - BELLOT;AV JEAN GEOFFROY;FRANCE;84490;ST SATURNIN LES APT;;Pharmacie d'Officine
EURL PHARMACIE DU ROCHER;AV JEAN MOULIN;FRANCE;84550;MORNAS;04 90 37 03 77;Pharmacie d'Officine
SARL PHARMACIE BRUN;140 CRS DU MARECHAL LECLERC;FRANCE;84270;VEDENE;04 90 31 11 13;Pharmacie d'Officine
SELAS PHARMACIE DES VOCONCES;AV MARCEL PAGNOL;FRANCE;84110;VAISON LA ROMAINE;04 90 36 14 06;Pharmacie d'Officine
SELARL PHARMACIE ERRERA;13 AV DES QUATRE OTAGES;FRANCE;84800;L ISLE SUR LA SORGUE;04 90 38 03 54;Pharmacie d'Officine
SELARL PHARMACIE FOURCADE-REYNAUD;LD LE VILLAGE;FRANCE;84260;SARRIANS;04 90 65 45 00;Pharmacie d'Officine
SELARL PHARMACIE DE REALPANIER;161 R JEAN GASSIER;FRANCE;84130;LE PONTET;04 90 31 04 04;Pharmacie d'Officine
SELARL PHARMACIE BOYER - REMIA;CTRE COMMERCIAL DE L ECLUSE;FRANCE;84500;BOLLENE;04 90 40 09 20;Pharmacie d'Officine
PHARMACIE BOCHEREAU-HEDOUIN;HAM DE LUMIERES;FRANCE;84220;GOULT;04 90 72 31 16;Pharmacie d'Officine
PHARMACIE FILIO;3 AV PAUL CLAUDEL;FRANCE;84000;AVIGNON;04 90 87 32 93;Pharmacie d'Officine
PHARMACIE LAUGIER;2 CHE DES POUDRIES;FRANCE;84370;BEDARRIDES;04 90 33 02 51;Pharmacie d'Officine
SELARL PHARMACIE DES TAILLADES;300 RTE DE MOURRE POUSSIN;FRANCE;84300;TAILLADES;04 90 71 16 61;Pharmacie d'Officine
SELARL LA PHARMACIE GOUBERT;6 PL DE LA LIBERTE;FRANCE;84310;MORIERES LES AVIGNON;04 90 83 89 66;Pharmacie d'Officine
SELARL PHARMACIE CERESOLA;1060 AV DE LA TRILLADE;FRANCE;84000;AVIGNON;04 90 88 21 29;Pharmacie d'Officine
